Date,oil_price,Inflation Rate,uncertain_rate,election Weight,Government_Change,Party_In_Office,DXY_Close
2012/6/1,95.88904762,1.7,195,0,0,0,81.650002
2012/7/1,102.9795455,1.4,185,0,0,0,82.639999
2012/8/1,113.7804348,1.7,152,0.25,0,0,81.25
2012/9/1,113.6415,2,175,0.5,0,0,79.940002
2012/10/1,111.7926087,2.2,166,0.75,0,0,79.919998
2012/11/1,109.9118182,1.8,187,1,0,0,80.150002
2012/12/1,109.5690476,1.7,193,0.75,0,0,79.769997
2013/1/1,112.5278261,1.6,158,0.6,0,0,79.209999
2013/2/1,116.488,2,115,0.5,0,0,81.980003
2013/3/1,109.5857143,1.5,125,0.4,0,0,82.989998
2013/4/1,102.96,1.1,119,0.3,0,0,81.730003
2013/5/1,102.9804348,1.4,104,0.2,0,0,83.379997
2013/6/1,103.3585,1.8,115,0,0,0,83.169998
2013/7/1,107.7795652,2,94,0,0,0,81.449997
2013/8/1,111.0581818,1.5,103,0,0,0,82.089996
2013/9/1,111.9628571,1.2,144,0,0,0,80.220001
2013/10/1,109.6186957,1,171,0,0,0,80.199997
2013/11/1,108.1504762,1.2,90,0,0,0,80.68
2013/12/1,111.0704545,1.5,105,0,0,0,80.040001
2014/1/1,107.9269565,1.6,94,0,0,0,81.269997
2014/2/1,108.838,1.1,89,0,0,0,79.779999
2014/3/1,107.8680952,1.5,93,0,0,0,80.099998
2014/4/1,108.0036364,2,91,0,0,0,79.489998
2014/5/1,109.8322727,2.1,90,0,0,0,80.370003
2014/6/1,112.2409524,2.1,81,0,0,0,79.779999
2014/7/1,107.4626087,2,77,0,0,0,81.459999
2014/8/1,102.4019048,1.7,71,0,0,0,82.75
2014/9/1,97.85272727,1.7,84,0,0,0,85.940002
2014/10/1,87.58478261,1.7,100,0,0,0,86.879997
2014/11/1,79.2295,1.3,89,0,0,0,88.360001
2014/12/1,62.90391304,0.8,85,0,0,0,90.269997
2015/1/1,48.93318182,-0.1,117,0,0,0,94.800003
2015/2/1,58.254,0,100,0,0,0,95.25
2015/3/1,56.52454545,-0.1,105,0,0,0,98.360001
2015/4/1,59.82636364,-0.2,110,0,0,0,94.599998
2015/5/1,65.19380952,0,101,0,0,0,96.910004
2015/6/1,62.62,0.1,109,0,0,0,95.489998
2015/7/1,56.82956522,0.2,99,0,0,0,97.370003
2015/8/1,47.53380952,0.2,130,0,0,0,95.949997
2015/9/1,48.03045455,0,139,0,0,0,96.349998
2015/10/1,48.90636364,0.2,103,0,0,0,96.949997
2015/11/1,45.0952381,0.5,92,0,0,0,100.169998
2015/12/1,38.52521739,0.7,99,0,0,0,98.629997
2016/1/1,32.0452381,1.4,119,0,0,0,99.610001
2016/2/1,33.76238095,1,115,0,0,0,98.209999
2016/3/1,39.79217391,0.9,104,0,0,0,94.589996
2016/4/1,43.33047619,1.1,84,0,0,0,93.080002
2016/5/1,47.735,1,82,0,0,0,95.889999
2016/6/1,49.87727273,1,163,0,0,0,96.139999
2016/7/1,46.59857143,0.8,122,0,0,0,95.529999
2016/8/1,47.05217391,1.1,92,0.25,0,0,96.019997
2016/9/1,47.37681818,1.5,80,0.5,0,0,95.459999
